uid,sid
2959,276
2959,277
2959,549
4814,281
4814,25
4814,38
4814,86
4814,133
4814,184
4814,213
4814,223
4814,230
4814,273
7727,74
7727,128
7727,168
7727,230
2932,3
2932,6
2932,11
2932,13
2932,281
2932,14
2932,15
2932,16
2932,32
2932,38
2932,41
2932,43
2932,45
2932,48
2932,50
2932,293
2932,59
2932,62
2932,70
2932,71
2932,75
2932,76
2932,81
2932,82
2932,84
2932,85
2932,86
2932,87
2932,91
2932,95
2932,99
2932,101
2932,104
2932,306
2932,115
2932,126
2932,128
2932,133
2932,143
2932,148
2932,321
2932,157
2932,159
2932,325
2932,165
2932,333
2932,168
2932,171
2932,189
2932,190
2932,197
2932,212
2932,213
2932,219
2932,230
2932,243
2932,502
2932,261
2932,513
2932,272
2932,273
2932,537
2932,546
2932,276
2932,277
2932,549
1492,3
1492,6
1492,13
1492,16
1492,25
1492,32
1492,50
1492,71
1492,75
1492,303
1492,133
1492,139
1492,148
1492,159
1492,167
1492,333
1492,168
1492,175
1492,219
1492,231
1492,261
1492,546
1492,277
7215,5
7215,168
7215,189
7215,276
1903,84
1903,303
1903,151
1903,167
1903,207
8841,6
8841,16
8841,41
8841,45
8841,62
8841,91
8841,303
8841,314
8841,325
8841,230
8841,422
6771,2
6771,3
6771,5
6771,6
6771,13
6771,281
6771,14
6771,15
6771,16
6771,20
6771,21
6771,25
6771,38
6771,43
6771,50
6771,59
6771,62
6771,70
6771,71
6771,73
6771,74
6771,75
6771,82
6771,86
6771,87
6771,95
6771,99
6771,111
6771,128
6771,130
6771,151
6771,157
6771,168
6771,175
6771,207
6771,212
6771,213
6771,230
6771,261
6771,273
6771,276
6771,277
6771,549
6771,554
3790,2
3790,3
3790,5
3790,6
3790,11
3790,12
3790,13
3790,281
3790,14
3790,15
3790,16
3790,24
3790,25
3790,38
3790,43
3790,45
3790,50
3790,293
3790,59
3790,62
3790,65
3790,70
3790,71
3790,73
3790,74
3790,75
3790,76
3790,81
3790,82
3790,84
3790,85
3790,86
3790,87
3790,91
3790,303
3790,95
3790,106
3790,115
3790,121
3790,314
3790,126
3790,128
3790,133
3790,143
3790,148
3790,159
3790,325
3790,165
3790,167
3790,168
3790,184
3790,190
3790,207
3790,387
3790,219
3790,223
3790,230
3790,502
3790,261
3790,272
3790,273
3790,537
3790,276
3790,277
3790,549
6844,5
6844,16
6844,97
6844,99
6844,230
6844,231
6844,243
1369,25
1369,86
1369,133
